Model,Feature,Importance
XGBoost,State_NH,0.01107288058847189
XGBoost,Total day charge,0.010329212062060833
XGBoost,State_VT,0.010241882875561714
XGBoost,State_MD,0.010224219411611557
XGBoost,Total night minutes,0.009465813636779785
XGBoost,State_ND,0.008888325653970242
XGBoost,State_DC,0.008273204788565636
XGBoost,State_HI,0.007574757561087608
XGBoost,State_CT,0.006668571848422289
XGBoost,State_CO,0.006482451222836971
XGBoost,State_VA,0.006462374702095985
XGBoost,State_WI,0.006151089910417795
XGBoost,Number vmail messages,0.005867956206202507
XGBoost,Account length,0.005730294622480869
XGBoost,State_ID,0.005705811083316803
XGBoost,Total night charge,0.005619478411972523
XGBoost,State_CA,0.005584627389907837
XGBoost,Total night calls,0.005410405341535807
XGBoost,State_IA,0.005237034521996975
XGBoost,State_NY,0.005215984769165516
XGBoost,State_RI,0.005025270860642195
XGBoost,Total day calls,0.0046316408552229404
XGBoost,State_MT,0.0045801992528140545
XGBoost,State_AL,0.004484814126044512
XGBoost,State_SD,0.004319280385971069
XGBoost,State_NC,0.0042143939062952995
XGBoost,State_MN,0.0035443983506411314
XGBoost,State_MO,0.0035401531495153904
XGBoost,Total eve calls,0.003449523588642478
XGBoost,State_IL,0.003294288879260421
XGBoost,State_KY,0.003038611263036728
XGBoost,State_WV,0.0027242705691605806
XGBoost,State_KS,0.0019580654334276915
XGBoost,State_NM,0.0019033043645322323
XGBoost,State_AR,0.0
XGBoost,State_AZ,0.0
XGBoost,State_DE,0.0
XGBoost,State_LA,0.0
XGBoost,State_IN,0.0
XGBoost,State_NV,0.0
XGBoost,State_PA,0.0
XGBoost,State_TN,0.0
XGBoost,State_OK,0.0
XGBoost,State_OR,0.0
XGBoost,State_WA,0.0
